"id","url_id","language","status","attempts","last_error","created_at","updated_at"
"b86c0281-fbae-4a14-99de-65b16e5af90a","67f1ef51-6f79-477a-b9a9-34daad69259f","es","done",1,NULL,"2026-03-21 01:02:13.028432+00","2026-03-21 01:02:13.028435+00"
"94a86f98-4a3f-4208-b30c-d1eea386f065","9af0e380-78e5-4aea-8580-94361d2f781f","en","done",1,NULL,"2026-03-21 01:05:06.93847+00","2026-03-21 01:05:06.938473+00"
"79e88e45-3e3f-4d96-b6d3-dc9ec55f88d1","67f1ef51-6f79-477a-b9a9-34daad69259f","en","done",1,NULL,"2026-03-21 01:07:59.359884+00","2026-03-21 01:07:59.359886+00"
"7349fe70-1b6e-4ac8-ac41-d8bcd8f00401","9af0e380-78e5-4aea-8580-94361d2f781f","de","done",1,NULL,"2026-03-21 01:09:18.390361+00","2026-03-21 01:09:18.390364+00"
"93633fcd-688c-4b9c-9bd2-ed1e4c8fc4d1","67f1ef51-6f79-477a-b9a9-34daad69259f","de","done",1,NULL,"2026-03-21 01:10:52.657437+00","2026-03-21 01:10:52.657439+00"
"57b79abe-4e41-495a-ab1f-5234bf3bd047","9af0e380-78e5-4aea-8580-94361d2f781f","fr","done",1,NULL,"2026-03-21 01:12:12.318784+00","2026-03-21 01:12:12.318787+00"
"6126b5d7-38ab-46a7-aa70-9125debf310c","67f1ef51-6f79-477a-b9a9-34daad69259f","fr","done",1,NULL,"2026-03-21 01:13:30.389401+00","2026-03-21 01:13:30.389406+00"
"d2e31094-db30-4b97-870b-a471d7216d8b","9af0e380-78e5-4aea-8580-94361d2f781f","it","done",1,NULL,"2026-03-21 01:15:00.763177+00","2026-03-21 01:15:00.763182+00"
"83bba2ac-4b55-4a75-b85c-15bad2b5a2b6","67f1ef51-6f79-477a-b9a9-34daad69259f","it","done",1,NULL,"2026-03-21 01:16:17.919736+00","2026-03-21 01:16:17.919739+00"
"445edbca-bf55-4b30-a16a-027bc711fc87","9af0e380-78e5-4aea-8580-94361d2f781f","nl","done",1,NULL,"2026-03-21 01:17:37.127587+00","2026-03-21 01:17:37.127589+00"
"82ccfa51-1a4b-428d-9b1a-336d36034ac8","67f1ef51-6f79-477a-b9a9-34daad69259f","nl","done",1,NULL,"2026-03-21 01:18:54.508087+00","2026-03-21 01:18:54.50809+00"
"ce6c3d78-248d-43d8-b8ab-0409af9d0877","9af0e380-78e5-4aea-8580-94361d2f781f","pt","done",1,NULL,"2026-03-21 01:20:29.416205+00","2026-03-21 01:20:29.416208+00"
"89df8f93-ec0e-4270-a389-ff2ad1b59e29","67f1ef51-6f79-477a-b9a9-34daad69259f","pt","done",1,NULL,"2026-03-21 01:21:48.452459+00","2026-03-21 01:21:48.452462+00"
"8a1e40d9-d956-46bb-8f6e-84e0b09af1aa","9af7acbb-601a-47f2-87d7-292f05898d5b","es","done",1,NULL,"2026-03-21 01:23:07.698097+00","2026-03-21 01:23:07.698099+00"
"8c7d0a65-baf1-40ec-8bd7-4f18b64a3059","ce6b0b91-a4d9-474e-8df8-6c9be31a78f8","es","done",1,NULL,"2026-03-21 01:24:25.099228+00","2026-03-21 01:24:25.09923+00"
"4414e6a6-b194-481b-bfab-da421c1dfc89","9af7acbb-601a-47f2-87d7-292f05898d5b","en","done",1,NULL,"2026-03-21 01:27:35.083195+00","2026-03-21 01:27:35.083197+00"
