id,hotel_id,url_id,language,service,service_category,created_at
109,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Nichtraucherzimmer,,2026-04-06 23:05:00.974921+01
110,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Eigenes Badezimmer,,2026-04-06 23:05:00.974921+01
111,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Dusche,,2026-04-06 23:05:00.974921+01
112,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Wandern,,2026-04-06 23:05:00.974921+01
113,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Gepäckaufbewahrung,,2026-04-06 23:05:00.974921+01
114,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Waschsalon/Wäscheservice,,2026-04-06 23:05:00.974921+01
115,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Angeln,,2026-04-06 23:05:00.974921+01
116,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Raucherbereich,,2026-04-06 23:05:00.974921+01
117,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Toilettenpapier,,2026-04-06 23:05:00.974921+01
118,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Handtücher,,2026-04-06 23:05:00.974921+01
119,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Badewanne oder Dusche,,2026-04-06 23:05:00.974921+01
120,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Kostenlose Pflegeprodukte,,2026-04-06 23:05:00.974921+01
121,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Haartrockner,,2026-04-06 23:05:00.974921+01
122,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Bettwäsche,,2026-04-06 23:05:00.974921+01
123,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Schrank,,2026-04-06 23:05:00.974921+01
124,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Gartenmöbel,,2026-04-06 23:05:00.974921+01
125,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Essbereich im Freien,,2026-04-06 23:05:00.974921+01
126,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Sonnenterrasse,,2026-04-06 23:05:00.974921+01
127,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Garten,,2026-04-06 23:05:00.974921+01
128,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Gemeinschaftsküche,,2026-04-06 23:05:00.974921+01
129,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Wäschetrockner,,2026-04-06 23:05:00.974921+01
130,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Steckdose in Bettnähe,,2026-04-06 23:05:00.974921+01
131,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Wäscheständer,,2026-04-06 23:05:00.974921+01
132,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Radfahren Außerhalb der Unterkunft,,2026-04-06 23:05:00.974921+01
133,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Wandern Außerhalb der Unterkunft,,2026-04-06 23:05:00.974921+01
134,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Sitzbereich,,2026-04-06 23:05:00.974921+01
135,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Schreibtisch,,2026-04-06 23:05:00.974921+01
136,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Café vor Ort,,2026-04-06 23:05:00.974921+01
137,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Express-Check-in/-out,,2026-04-06 23:05:00.974921+01
138,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Rechnung auf Anfrage,,2026-04-06 23:05:00.974921+01
139,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Feuerlöscher,,2026-04-06 23:05:00.974921+01
140,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Videoüberwachung der Außenbereiche der Unterkunft,,2026-04-06 23:05:00.974921+01
141,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Videoüberwachung in Gemeinschaftsbereichen,,2026-04-06 23:05:00.974921+01
142,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Rauchmelder,,2026-04-06 23:05:00.974921+01
143,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Zugang mit Schlüssel,,2026-04-06 23:05:00.974921+01
144,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Allergikerfreundlich,,2026-04-06 23:05:00.974921+01
145,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Klimaanlage,,2026-04-06 23:05:00.974921+01
146,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Nichtraucherunterkunft (Alle öffentlichen und privaten Bereiche sind Nichtraucherzonen),,2026-04-06 23:05:00.974921+01
147,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Schallisolierung,,2026-04-06 23:05:00.974921+01
148,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Privater Eingang,,2026-04-06 23:05:00.974921+01
149,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Schallisolierte Zimmer,,2026-04-06 23:05:00.974921+01
150,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Heizung,,2026-04-06 23:05:00.974921+01
151,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Bügeleinrichtungen,,2026-04-06 23:05:00.974921+01
152,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Bulgarisch,,2026-04-06 23:05:00.974921+01
153,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Englisch,,2026-04-06 23:05:00.974921+01
154,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Serbisch,,2026-04-06 23:05:00.974921+01
155,fa36eedc-4c1f-4e05-b315-cd9600b5006c,61dc8245-23aa-4dae-9474-ea3ede12b9a5,it,Colazione,,2026-04-06 23:05:27.235334+01
156,fa36eedc-4c1f-4e05-b315-cd9600b5006c,61dc8245-23aa-4dae-9474-ea3ede12b9a5,it,Struttura interamente non fumatori,,2026-04-06 23:05:27.235334+01
157,fa36eedc-4c1f-4e05-b315-cd9600b5006c,61dc8245-23aa-4dae-9474-ea3ede12b9a5,it,Inglese,,2026-04-06 23:05:27.235334+01
158,7ce602c2-033a-4294-8d17-1d6d46c30659,6852288e-b661-42ff-8ecd-caaaec3a8a84,it,Parcheggio,,2026-04-06 23:05:53.451578+01
159,7ce602c2-033a-4294-8d17-1d6d46c30659,6852288e-b661-42ff-8ecd-caaaec3a8a84,it,Connessione WiFi gratuita,,2026-04-06 23:05:53.451578+01
160,7ce602c2-033a-4294-8d17-1d6d46c30659,6852288e-b661-42ff-8ecd-caaaec3a8a84,it,Camere non fumatori,,2026-04-06 23:05:53.451578+01
161,7ce602c2-033a-4294-8d17-1d6d46c30659,6852288e-b661-42ff-8ecd-caaaec3a8a84,it,Bagno privato,,2026-04-06 23:05:53.451578+01
162,7ce602c2-033a-4294-8d17-1d6d46c30659,6852288e-b661-42ff-8ecd-caaaec3a8a84,it,Doccia,,2026-04-06 23:05:53.451578+01
163,7ce602c2-033a-4294-8d17-1d6d46c30659,6852288e-b661-42ff-8ecd-caaaec3a8a84,it,Escursionismo,,2026-04-06 23:05:53.451578+01
