external_ref,url_id,hotel_id,length_description,img_highres_count,count_service_category,count_service,hotel_review_score,hotel_review_count,base_url,book_lenght,book_imagenes,book_count_service_category,book_count_service,book_review_score,book_review_count,book_quality,book_destino_Turistico,book_destino_General
76970,d0494ee8-26d8-4951-b381-7fb5a2fabf54,99a2eb3d-e6e5-4031-afbb-0c99e18ed509,595,45,11,48,8.3,921,https://www.booking.com/hotel/at/aton.html,595,48,4,11,8.2,926,3,Graz,Austria
76971,f2dfcfb8-ce68-4209-83e2-bf1c8473ed88,ede88f5c-3051-4977-bb67-70bd5ea49667,677,45,13,74,8.1,1538,https://www.booking.com/hotel/at/ferdls-gasthof.html,677,87,4,12,8.1,1537,0,Graz,Austria
76972,3b68b444-06d5-4f0b-9f50-2d47e13f5288,91208345-29f0-4413-8291-116399bdf4df,464,31,12,49,7.9,663,https://www.booking.com/hotel/at/haus-mobene-garni.html,464,31,15,54,7.9,665,0,Graz,Austria
76975,1d846695-d50f-4c0f-898b-0707a4dc3188,bc88c3d6-0947-44e5-b3d9-331f11c5917f,632,45,11,64,8.7,2833,https://www.booking.com/hotel/at/roomz-graz.html,632,62,4,12,8.7,2759,4,Graz,Austria
76991,2a80ce1b-2b49-4307-8252-e79cb78ca0a1,52bd7c9d-ba8c-4833-9782-7765c6d18401,802,45,4,10,9.3,204,https://www.booking.com/hotel/at/wellnesshotel-edelweiss.html,798,152,4,13,9.4,201,5,Grossarl,Austria
77002,b0da5389-88c2-4ee7-a1c9-18473420d799,30ecf46b-d95c-4c7f-8423-c4319cadf403,1022,45,13,198,9.7,3,https://www.booking.com/hotel/at/familien-natur-resort-moar-gut.html,1322,103,4,13,9.7,3,5,Grossarl,Austria
77006,49c41f46-506d-4746-83e1-251eecf51b1a,750067be-c52f-4272-8806-99e7719d6350,652,45,12,75,8.4,448,https://www.booking.com/hotel/at/jufa-grundlsee.html,652,48,4,13,8.4,453,3,Grundlsee,Austria
77007,dc59ec9e-fc2f-4ca6-a558-03530767b2c3,22119e55-45f2-465a-afd3-481ad0dbf079,1379,45,13,71,9.8,366,https://www.booking.com/hotel/at/seehotel-grundlsee.html,1379,47,4,13,9.8,368,4,Grundlsee,Austria
77088,1a21c826-b98e-44d1-9342-27de57e52793,1e2d10f1-0ad4-4aa3-af8a-d2bf8ca2c3ef,1126,45,13,136,8.6,1358,https://www.booking.com/hotel/at/travel-charme-ifen.html,1126,70,4,14,8.6,1366,5,Hirschegg,Austria
77089,a9dfa846-5011-4b87-92a3-51f3161b3ae6,fdb7b98c-53ea-4f89-ad42-e95050a1c787,569,31,10,41,8,503,https://www.booking.com/hotel/at/adler-hirschegg.html,569,31,4,13,8.0,508,3,Hirschegg,Austria
77091,9b74c470-be48-499b-bf62-807124a0e0eb,16d84033-5ca8-44e1-86d2-e5908303a1d7,802,31,11,89,8.4,76,https://www.booking.com/hotel/at/suitehotel-kleinwalsertal.html,802,31,4,13,8.4,74,4,Hirschegg,Austria
77148,e59665f8-3dcb-49ec-9cae-f705d553fa15,89b5bc98-d820-41ed-b954-c212efaa5e8f,1203,45,12,117,9.4,170,https://www.booking.com/hotel/at/schlosshotel-romantica.html,1203,48,4,13,9.4,174,5,Ischgl,Austria
77149,b2506b55-ccf1-4687-9fc6-b892a1bad9c3,e726cf85-7885-4ed0-a129-c4e563ca51af,506,45,12,170,9.4,144,https://www.booking.com/hotel/at/trofana-royal.html,506,62,4,14,9.4,152,5,Ischgl,Austria
77152,92676fed-1500-4cd3-9138-e08fc2e271cb,e6110860-ffa9-4068-bbae-07d2f1d0e01a,1138,45,9,79,9.2,196,https://www.booking.com/hotel/at/sporthotel-silvretta.html,1138,262,4,14,9.2,197,5,Ischgl,Austria
77179,293c1ef4-1239-4be7-9b84-cb9cbc79dc76,9d707ccc-614c-4f14-b67b-dab39759e706,1461,45,11,131,9.5,72,https://www.booking.com/hotel/at/elisbeth.html,1461,84,4,13,9.4,73,5,Ischgl,Austria
77196,49fe5e1f-a6ef-406b-915f-bb49f764cb6d,7cf45e2f-4072-4b22-973e-b608b34a6719,952,45,13,141,8.8,826,https://www.booking.com/hotel/at/kempinski-hotel-das-tirol.html,952,154,6,25,8.8,825,5,Jochberg,Austria
77198,e9448413-6ac9-44cf-8017-d12df235fddd,7a6e3b1f-b98d-4193-af82-de5f4c278242,443,45,12,54,8.3,912,https://www.booking.com/hotel/at/jufa-judenburg.html,475,93,4,12,8.3,891,3,Judenburg,Austria
77199,78f91c7e-8e4e-45d2-9a5c-885cf3c877c0,1754f45c-5884-450c-a375-09af05a9190b,687,45,12,58,8,648,https://www.booking.com/hotel/at/stadthotel-schwesterbra-u.html,697,86,4,10,8.0,643,0,Judenburg,Austria
77200,f9b4076e-5328-4ccf-a19a-19cedee22d49,bb14b0af-9cfd-4ca4-afa3-3a73c9aeb036,721,45,13,70,8.7,237,https://www.booking.com/hotel/at/gasthof-murblick.html,731,67,4,12,8.7,241,0,Judenburg,Austria
77224,91950971-f4c8-431d-a7f0-96967d7e3cee,,0,0,0,0,0,0,https://www.booking.com/hotel/at/steinthron.html,0,0,4,12,0,0,,,
77228,c9051575-3076-426a-ba27-dfe02acf4f33,140d1085-42b5-4d96-8734-ca3d1580f46b,1268,45,11,96,9.2,249,https://www.booking.com/hotel/at/zhero-alps-fashion.html,1268,126,4,13,9.2,261,5,Kappl,Austria
77262,d6d5b07c-90b1-45ef-92c4-68d6e36f015b,d6d1a967-a77f-416f-9432-ebd77d89ebd8,608,45,9,31,8.9,198,https://www.booking.com/hotel/at/gasthof-ochnerbauer.html,618,48,4,12,8.9,202,0,Kindberg,Austria
77313,52fc4d8d-7e92-45b5-a689-7474187ddbda,804a1835-ebc4-4cf3-bdee-194b551a6ea3,749,45,10,58,9.6,52,https://www.booking.com/hotel/at/gasthof-pension-stieber.html,759,121,4,12,9.6,53,0,Kleinsolk,Austria
77318,2125f56f-bca3-48b7-b522-2f9989ca7da1,a1cb1795-f563-4689-a5d9-7b4f937b04b9,675,33,9,17,8.9,395,https://www.booking.com/hotel/at/das-friedrich.html,685,33,4,13,9.0,404,4,Knittelfeld,Austria
77334,f23d5408-d030-4255-85fe-ad261a489fe1,15192d0c-5bc8-44dc-901a-0cfc0cdd8e8b,869,39,5,8,9.4,103,https://www.booking.com/hotel/at/gasthof-rothwangl-hannes.html,879,39,4,12,9.4,103,3,Krieglach,Austria
77370,25ea5418-b076-416f-8ff2-4782098bf361,9c56e46f-bd8f-4bd4-a78d-c0fc0dc6aa75,663,43,12,142,9.6,40,https://www.booking.com/hotel/at/naturhotel-waldklause.html,663,43,4,13,9.7,39,5,Langenfeld,Austria
