# SQL =
["SELECT al.url_id , al.hotel_id , h.hotel_name , al.language, al.service_category , service 
FROM hotels_all_services al
LEFT JOIN hotels h ON al.url_id = h.url_id and al.language = h.language and al.hotel_id = h.id 
WHERE hotel_name in('wild & bolz eMotel','vidimo se','Hotel Aquamarin')
AND al.language in ('es','en')
ORDER BY al.url_id , al.language , al.service_category"]
 
## RESULT =
[
url_id,hotel_id,hotel_name,language,service_category,service
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Electric vehicle charging station
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Fire extinguishers
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Free parking
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Free WiFi
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Accessible parking
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,German
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Hardwood or parquet floors
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Heating
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Invoice provided
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Key card access
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Lift
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,CCTV in common areas
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Parking
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Pets allowed
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Private parking
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Shared lounge/TV area
